75 20
            #############            ######################################
            #.*.**..*s..#            #D*****...w***.....****B*****....DDDD#
     ########.....****..#            #**..s***...***.....***#****...****DD#
     #.****s...*####..**#            #h.....******h....***DD#w***....*....#
     #.***...####  #.***#            #....***w###############****.s....**h#
     #.*s.*..#     #*..*#            #D.**hwwh#D*......****...****....****#
   #X#..**.*.#     #***.#            #DD**whhZ#**..####################**.#
   #kB****..*#     #*s..#            ##########...*#                  #*..#
   ########.*#     #.**.#            #DD..w*****...####################***#
          #.*#     #..**#            #...*****....*#DD*****......***.***..#
          #**#     #*s..#            #....*****s.h*#D****....wh*s****...DD#
          ##B#     #**..#            #..*######################Y###########
   #########.#     ##..s#            #*B.#
   #..**.***.#      #...##############***#
####.***...**#      #*.*#DD**.*....***.*.#
#w..*****...*#    ###..*#D...*..s*..***..#
#..****..***.#    #DD...#....***.**....**#
#DD***..***..#    #D***..h***.#####***...#
#DDD...*w..@.#    #..s*.....**#   #D**w**#
###########o##    #############   ########
